누적투자유치금액,기업추천수,지역명,투자일자,투자단계명,투자금액,기업가치금액,앱스토어 등록,구글플레이 등록,설립일자_분류,기술스택_개수,산업구분명_분류
20000000.0,0,수도권,20100101,투자 단계 비공개,20000000.0,,0,1,2017년 이전,1,IT
50280000000.0,71,수도권,20190615,Series B,12500000000.0,,1,1,2017년 이전,94,IT
200000000.0,0,수도권,20190101,투자 단계 비공개,,,0,0,2017년 이전,22,IT
230000000.0,1,수도권,20211201,Angel,230000000.0,200000000.0,0,0,2017년 이후,1,None IT
1200000000.0,2,수도권,20201201,Series A,1200000000.0,5700000000.0,0,0,2017년 이전,2,IT
1000000000.0,2,수도권,20100101,투자 단계 비공개,1000000000.0,,0,1,2017년 이전,1,IT
60000000.0,1,수도권,20160704,투자 단계 비공개,60000000.0,,0,0,2017년 이후,1,IT
7500000000.0,11,수도권,20190821,투자 단계 비공개,,8031424800.0,1,1,2017년 이후,7,None IT
1000000000.0,6,수도권,20200102,투자 단계 비공개,,,0,0,2017년 이후,11,IT
2325000000.0,28,수도권,20211029,Series A,2000000000.0,,0,0,2017년 이후,32,IT
6600000000.0,0,비수도권,20150717,투자 단계 비공개,3100000000.0,,0,0,2017년 이전,1,IT
20000000.0,0,수도권,20150601,투자 단계 비공개,20000000.0,,0,0,2017년 이전,1,None IT
5000000000.0,36,수도권,20210222,Series A,5000000000.0,,0,0,2017년 이전,20,IT
83850000000.0,22,수도권,20190219,Series B,62400000000.0,,0,0,2017년 이전,68,IT
5000000000.0,0,수도권,20160428,투자 단계 비공개,5000000000.0,,0,0,2017년 이전,36,IT
500000000.0,31,수도권,20170710,투자 단계 비공개,500000000.0,,0,0,2017년 이후,19,IT
96000000.0,0,비수도권,20210201,투자 단계 비공개,96000000.0,,0,1,2017년 이후,9,IT
5000000000.0,1,수도권,20210901,Seed,5000000000.0,5000000000.0,0,0,2017년 이후,13,IT
3750000000.0,7,수도권,20180814,Series A,300000000.0,,0,1,2017년 이전,23,IT
200000000.0,4,수도권,20190201,투자 단계 비공개,200000000.0,,0,0,2017년 이후,3,None IT
10000000.0,0,수도권,20150301,투자 단계 비공개,10000000.0,,0,0,2017년 이전,1,None IT
6500000000.0,37,수도권,20130901,투자 단계 비공개,200000000.0,,1,1,2017년 이전,22,IT
8000000000.0,5,수도권,20150105,투자 단계 비공개,8000000000.0,,0,0,2017년 이전,1,None IT
10300000000.0,5,수도권,20150102,투자 단계 비공개,9000000000.0,,0,0,2017년 이전,1,IT
9300000000.0,35,수도권,20150210,투자 단계 비공개,2000000000.0,,1,1,2017년 이전,48,IT
3000000000.0,12,수도권,20190517,Series A,3000000000.0,,1,1,2017년 이전,33,IT
3700000000.0,4,수도권,20170720,투자 단계 비공개,3000000000.0,,1,1,2017년 이전,18,IT
120000000.0,0,수도권,20150106,Seed,,,0,1,2017년 이전,25,IT
300000000.0,6,수도권,20200619,Seed,300000000.0,,0,0,2017년 이후,45,IT
200000000.0,3,비수도권,20210701,Angel,200000000.0,,0,0,2017년 이후,17,None IT
7500000000.0,11,수도권,20151001,투자 단계 비공개,2000000000.0,,0,0,2017년 이전,29,IT
8300000000.0,22,수도권,20160427,Angel,,,1,1,2017년 이전,55,IT
7750000000.0,1,수도권,20141031,Series A,2000000000.0,,0,0,2017년 이전,1,IT
