누적투자유치금액,기업추천수,투자단계명,투자금액,앱스토어 등록,구글플레이 등록,기술스택_개수,산업구분명_분류,IT기업 여부,2017년 이후 설립 여부,수도권 여부,투자성공여부,누적투자유치금액_투자금액_차이,투자단계명_숫자
20000000.0,0,투자 단계 비공개,20000000.0,0,1,1,IT,1,0,1,0,0.0,1
50280000000.0,71,Series B,12500000000.0,1,1,94,IT,1,0,1,1,37780000000.0,5
200000000.0,0,투자 단계 비공개,2396568300.8753204,0,0,22,IT,1,0,1,1,-2196568300.8753204,1
230000000.0,1,Angel,230000000.0,0,0,1,None IT,0,1,1,1,0.0,2
1200000000.0,2,Series A,1200000000.0,0,0,2,IT,1,0,1,1,0.0,4
1000000000.0,2,투자 단계 비공개,1000000000.0,0,1,1,IT,1,0,1,0,0.0,1
60000000.0,1,투자 단계 비공개,60000000.0,0,0,1,IT,1,1,1,0,0.0,1
7500000000.0,11,투자 단계 비공개,2396568300.8753204,1,1,7,None IT,0,1,1,1,5103431699.12468,1
1000000000.0,6,투자 단계 비공개,2396568300.8753204,0,0,11,IT,1,1,1,1,-1396568300.8753204,1
2325000000.0,28,Series A,2000000000.0,0,0,32,IT,1,1,1,1,325000000.0,4
6600000000.0,0,투자 단계 비공개,3100000000.0,0,0,1,IT,1,0,0,0,3500000000.0,1
20000000.0,0,투자 단계 비공개,20000000.0,0,0,1,None IT,0,0,1,0,0.0,1
5000000000.0,36,Series A,5000000000.0,0,0,20,IT,1,0,1,1,0.0,4
83850000000.0,22,Series B,62400000000.0,0,0,68,IT,1,0,1,1,21450000000.0,5
5000000000.0,0,투자 단계 비공개,5000000000.0,0,0,36,IT,1,0,1,0,0.0,1
500000000.0,31,투자 단계 비공개,500000000.0,0,0,19,IT,1,1,1,1,0.0,1
96000000.0,0,투자 단계 비공개,96000000.0,0,1,9,IT,1,1,0,1,0.0,1
5000000000.0,1,Seed,5000000000.0,0,0,13,IT,1,1,1,1,0.0,3
3750000000.0,7,Series A,300000000.0,0,1,23,IT,1,0,1,1,3450000000.0,4
200000000.0,4,투자 단계 비공개,200000000.0,0,0,3,None IT,0,1,1,1,0.0,1
10000000.0,0,투자 단계 비공개,10000000.0,0,0,1,None IT,0,0,1,0,0.0,1
6500000000.0,37,투자 단계 비공개,200000000.0,1,1,22,IT,1,0,1,0,6300000000.0,1
8000000000.0,5,투자 단계 비공개,8000000000.0,0,0,1,None IT,0,0,1,0,0.0,1
10300000000.0,5,투자 단계 비공개,9000000000.0,0,0,1,IT,1,0,1,0,1300000000.0,1
9300000000.0,35,투자 단계 비공개,2000000000.0,1,1,48,IT,1,0,1,0,7300000000.0,1
3000000000.0,12,Series A,3000000000.0,1,1,33,IT,1,0,1,1,0.0,4
3700000000.0,4,투자 단계 비공개,3000000000.0,1,1,18,IT,1,0,1,1,700000000.0,1
120000000.0,0,Seed,2396568300.8753204,0,1,25,IT,1,0,1,0,-2276568300.8753204,3
300000000.0,6,Seed,300000000.0,0,0,45,IT,1,1,1,1,0.0,3
200000000.0,3,Angel,200000000.0,0,0,17,None IT,0,1,0,1,0.0,2
7500000000.0,11,투자 단계 비공개,2000000000.0,0,0,29,IT,1,0,1,0,5500000000.0,1
8300000000.0,22,Angel,2396568300.8753204,1,1,55,IT,1,0,1,0,5903431699.12468,2
7750000000.0,1,Series A,2000000000.0,0,0,1,IT,1,0,1,0,5750000000.0,4
100000000.0,0,Angel,100000000.0,0,0,24,IT,1,0,1,0,0.0,2
310000000.0,0,투자 단계 비공개,250000000.0,0,0,1,IT,1,0,1,0,60000000.0,1
4800000000.0,1,투자 단계 비공개,2500000000.0,0,0,1,IT,1,0,1,0,2300000000.0,1
1000000000.0,0,Seed,1000000000.0,0,0,26,IT,1,1,1,1,0.0,3
1500000000.0,0,투자 단계 비공개,1500000000.0,1,1,19,IT,1,1,1,1,0.0,1
76400000.0,0,투자 단계 비공개,50000000.0,0,0,1,IT,1,0,1,0,26400000.0,1
24000000.0,0,투자 단계 비공개,24000000.0,0,0,1,IT,1,0,1,0,0.0,1
10100000000.0,10,Series B,8000000000.0,0,0,2,IT,1,0,1,1,2100000000.0,5
1100000000.0,1,Angel,800000000.0,0,0,9,None IT,0,1,1,1,300000000.0,2
150000000.0,2,Seed,100000000.0,0,0,11,IT,1,1,1,1,50000000.0,3
3500000000.0,2,Series A,2500000000.0,0,0,22,IT,1,1,1,1,1000000000.0,4
1700000000.0,10,투자 단계 비공개,1700000000.0,0,0,17,IT,1,0,0,0,0.0,1
930000000.0,16,Seed,30000000.0,0,0,31,IT,1,1,1,1,900000000.0,3
120000000.0,2,투자 단계 비공개,20000000.0,0,0,23,IT,1,1,1,1,100000000.0,1
2250000000.0,4,투자 단계 비공개,500000000.0,0,1,31,None IT,0,1,1,1,1750000000.0,1
1300000000.0,0,투자 단계 비공개,1000000000.0,1,1,1,IT,1,0,1,0,300000000.0,1
18000000000.0,0,Series A,4000000000.0,0,1,1,IT,1,0,1,0,14000000000.0,4
1799989774.0,0,Series A,300000000.0,0,0,18,None IT,0,0,0,1,1499989774.0,4
250000000.0,29,Angel,2396568300.8753204,0,0,16,IT,1,0,1,1,-2146568300.8753204,2
10000000000.0,43,Series A,10000000000.0,1,1,35,IT,1,0,1,1,0.0,4
1100000000.0,0,Seed,500000000.0,0,0,11,IT,1,1,1,1,600000000.0,3
4550000000.0,0,투자 단계 비공개,2000000000.0,0,0,1,IT,1,0,1,0,2550000000.0,1
150000000.0,0,투자 단계 비공개,30000000.0,0,0,1,IT,1,0,1,0,120000000.0,1
2000000000.0,1,투자 단계 비공개,2000000000.0,1,0,13,IT,1,0,1,0,0.0,1
2500000000.0,12,투자 단계 비공개,500000000.0,1,1,1,None IT,0,1,1,1,2000000000.0,1
1300000000.0,0,Series A,500000000.0,1,1,1,IT,1,0,1,0,800000000.0,4
92713900000.0,136,투자 단계 비공개,70113900000.0,0,0,34,IT,1,0,1,1,22600000000.0,1
300000000.0,6,투자 단계 비공개,300000000.0,0,0,17,IT,1,1,1,1,0.0,1
42000000.0,6,Seed,30000000.0,0,0,1,None IT,0,0,1,0,12000000.0,3
1200000000.0,2,투자 단계 비공개,2396568300.8753204,0,0,10,IT,1,0,1,0,-1196568300.8753204,1
650000000.0,10,해당없음,650000000.0,1,1,12,IT,1,1,0,1,0.0,1
100000000.0,7,Seed,100000000.0,1,1,12,None IT,0,1,1,1,0.0,3
950000000.0,0,Seed,300000000.0,1,1,1,IT,1,0,0,0,650000000.0,3
110000000.0,5,Seed,2396568300.8753204,1,1,24,IT,1,0,1,1,-2286568300.8753204,3
8200000000.0,7,Seed,200000000.0,0,0,40,None IT,0,1,1,1,8000000000.0,3
9200000000.0,4,Angel,400000000.0,0,0,30,IT,1,0,1,0,8800000000.0,2
50000000.0,0,투자 단계 비공개,50000000.0,0,0,1,None IT,0,0,1,0,0.0,1
195000000.0,5,Angel,35000000.0,0,0,1,None IT,0,1,1,1,160000000.0,2
200000000.0,1,투자 단계 비공개,200000000.0,0,0,15,None IT,0,1,1,1,0.0,1
56500000.0,0,Seed,31500000.0,0,1,18,IT,1,0,1,0,25000000.0,3
11000004000.0,5,Series A,2000004000.0,0,0,25,IT,1,1,1,1,9000000000.0,4
200000000.0,1,투자 단계 비공개,200000000.0,0,0,1,IT,1,1,0,1,0.0,1
2500000000.0,1,투자 단계 비공개,2500000000.0,0,0,1,IT,1,0,1,0,0.0,1
635000000.0,8,투자 단계 비공개,286000000.0,1,1,49,IT,1,0,0,0,349000000.0,1
1000000000.0,2,투자 단계 비공개,1000000000.0,0,0,14,None IT,0,1,1,1,0.0,1
4000000000.0,3,Series A,4000000000.0,0,0,1,None IT,0,0,1,1,0.0,4
3600000000.0,1,Seed,3600000000.0,1,1,23,None IT,0,1,1,1,0.0,3
400000000.0,1,Seed,300000000.0,1,1,18,None IT,0,0,1,0,100000000.0,3
9000000000.0,1,투자 단계 비공개,9000000000.0,0,0,1,IT,1,0,1,0,0.0,1
1500000000.0,0,투자 단계 비공개,1500000000.0,1,1,1,IT,1,0,1,0,0.0,1
7000000000.0,0,투자 단계 비공개,2000000000.0,0,0,1,None IT,0,0,1,1,5000000000.0,1
2500000000.0,5,투자 단계 비공개,2500000000.0,0,0,32,IT,1,0,1,1,0.0,1
5000000000.0,1,투자 단계 비공개,5000000000.0,1,1,1,IT,1,0,1,0,0.0,1
2580000000.0,15,Seed,2400000000.0,0,0,16,IT,1,1,1,1,180000000.0,3
100000000000.0,1,투자 단계 비공개,100000000000.0,0,0,3,IT,1,0,1,0,0.0,1
100000000.0,0,투자 단계 비공개,100000000.0,0,1,15,IT,1,0,1,0,0.0,1
6440000000.0,16,투자 단계 비공개,500000000.0,1,1,37,IT,1,0,1,1,5940000000.0,1
220000000.0,1,투자 단계 비공개,100000000.0,0,1,24,IT,1,0,1,1,120000000.0,1
1000000000.0,6,Seed,500000000.0,1,1,16,None IT,0,1,1,1,500000000.0,3
1100000000.0,0,Angel,500000000.0,1,1,1,IT,1,0,1,0,600000000.0,2
2000000000.0,4,투자 단계 비공개,2000000000.0,0,0,19,IT,1,0,1,1,0.0,1
1700000000.0,21,해당없음,100000000.0,1,1,23,IT,1,0,1,0,1600000000.0,1
5970000000.0,6,Seed,270000000.0,0,1,33,IT,1,0,1,0,5700000000.0,3
4500000000.0,3,Seed,3600000000.0,0,0,31,IT,1,0,1,1,900000000.0,3
200000000.0,3,Seed,200000000.0,0,0,14,None IT,0,1,1,1,0.0,3
500000000.0,0,투자 단계 비공개,500000000.0,0,0,1,IT,1,0,1,0,0.0,1
330000000.0,0,투자 단계 비공개,300000000.0,0,0,1,IT,1,0,1,0,30000000.0,1
702000000.0,19,투자 단계 비공개,20000000.0,0,0,16,IT,1,1,1,1,682000000.0,1
27800000000.0,4,Series B,18500000000.0,1,1,28,IT,1,1,1,1,9300000000.0,5
9000000000.0,1,투자 단계 비공개,9000000000.0,0,0,1,IT,1,0,1,0,0.0,1
50000000.0,0,투자 단계 비공개,50000000.0,0,0,1,None IT,0,0,0,0,0.0,1
150000000.0,2,Seed,150000000.0,0,0,1,IT,1,0,1,1,0.0,3
150000000.0,0,투자 단계 비공개,150000000.0,0,0,1,IT,1,0,1,0,0.0,1
1000000000.0,0,Seed,1000000000.0,0,0,1,IT,1,0,1,0,0.0,3
47500000.0,3,Seed,47500000.0,0,0,25,IT,1,0,1,1,0.0,3
542000000.0,9,투자 단계 비공개,80000000.0,0,0,20,IT,1,1,1,1,462000000.0,1
7000000000.0,14,투자 단계 비공개,6000000000.0,1,1,53,IT,1,0,1,0,1000000000.0,1
1500000000.0,1,투자 단계 비공개,1500000000.0,0,0,1,IT,1,0,1,0,0.0,1
20000000.0,1,해당없음,20000000.0,0,0,4,None IT,0,1,1,1,0.0,1
5330000000.0,25,Series A,1000000000.0,1,1,34,IT,1,0,1,0,4330000000.0,4
500000000.0,1,Seed,500000000.0,0,0,14,IT,1,1,1,1,0.0,3
2250000000.0,5,Angel,100000000.0,0,0,1,None IT,0,1,0,1,2150000000.0,2
700000000.0,3,투자 단계 비공개,2396568300.8753204,0,0,22,IT,1,0,1,0,-1696568300.8753204,1
60000000.0,1,Angel,60000000.0,1,1,7,IT,1,1,1,1,0.0,2
42000000.0,1,투자 단계 비공개,42000000.0,0,0,1,None IT,0,1,1,1,0.0,1
49200000000.0,3,Series B,31000000000.0,1,1,16,IT,1,0,0,1,18200000000.0,5
66268844.0,0,투자 단계 비공개,66268844.0,0,0,1,None IT,0,1,1,1,0.0,1
1500000000.0,0,Series A,1500000000.0,0,0,1,IT,1,0,1,0,0.0,4
67350000000.0,9,투자 단계 비공개,45300000000.0,0,0,25,IT,1,0,1,1,22050000000.0,1
100000000.0,3,투자 단계 비공개,100000000.0,1,1,19,None IT,0,1,1,1,0.0,1
600000000.0,2,투자 단계 비공개,2396568300.8753204,0,0,17,IT,1,0,0,1,-1796568300.8753204,1
40000000.0,0,Angel,40000000.0,1,1,1,None IT,0,0,1,0,0.0,2
1200000000.0,0,투자 단계 비공개,1000000000.0,0,0,1,IT,1,1,1,1,200000000.0,1
4700000000.0,20,투자 단계 비공개,3000000000.0,0,0,20,IT,1,0,1,1,1700000000.0,1
14000000000.0,1,Series B,10000000000.0,0,0,23,IT,1,1,1,1,4000000000.0,5
420000000.0,4,Angel,20000000.0,0,0,1,IT,1,0,1,1,400000000.0,2
1000000000.0,0,투자 단계 비공개,1000000000.0,0,1,1,IT,1,0,1,0,0.0,1
10500000000.0,2,투자 단계 비공개,2396568300.8753204,0,0,16,IT,1,0,1,0,8103431699.12468,1
170000000.0,1,Series A,170000000.0,1,1,8,IT,1,0,1,1,0.0,4
150500000.0,1,Seed,150500000.0,0,0,7,None IT,0,1,1,1,0.0,3
1000000000.0,5,투자 단계 비공개,1000000000.0,0,0,30,IT,1,0,1,0,0.0,1
1000000000.0,12,투자 단계 비공개,2396568300.8753204,0,1,1,IT,1,0,1,0,-1396568300.8753204,1
8500000000.0,0,투자 단계 비공개,4000000000.0,0,0,1,IT,1,0,1,0,4500000000.0,1
100000000.0,2,Seed,100000000.0,0,0,19,None IT,0,1,0,1,0.0,3
12500000000.0,4,투자 단계 비공개,7500000000.0,1,1,1,IT,1,0,1,1,5000000000.0,1
800000000.0,21,Series A,800000000.0,1,1,24,IT,1,1,1,1,0.0,4
550000000.0,2,Seed,500000000.0,0,0,13,None IT,0,1,1,1,50000000.0,3
12500000000.0,3,투자 단계 비공개,2396568300.8753204,1,1,1,IT,1,0,1,0,10103431699.12468,1
1093000000.0,10,해당없음,2396568300.8753204,0,0,8,IT,1,1,1,1,-1303568300.8753204,1
3602000000.0,12,투자 단계 비공개,2000000000.0,1,1,23,IT,1,0,1,0,1602000000.0,1
170000000.0,0,Angel,170000000.0,0,0,11,IT,1,1,1,1,0.0,2
1893920000.0,4,해당없음,193920000.0,0,0,21,IT,1,1,1,1,1700000000.0,1
228200000000.0,1,투자 단계 비공개,36300000000.0,0,1,1,IT,1,0,1,0,191900000000.0,1
5500019800.0,13,투자 단계 비공개,2396568300.8753204,0,0,17,IT,1,0,1,1,3103451499.1246796,1
3220000000.0,7,투자 단계 비공개,1500000000.0,0,0,1,IT,1,0,1,0,1720000000.0,1
623195000.0,1,Series A,133195000.0,0,0,1,IT,1,0,1,1,490000000.0,4
500000000.0,0,투자 단계 비공개,500000000.0,1,1,1,IT,1,0,1,0,0.0,1
30000000.0,0,투자 단계 비공개,30000000.0,1,1,1,IT,1,0,1,0,0.0,1
50000000.0,0,투자 단계 비공개,50000000.0,0,0,18,IT,1,1,1,1,0.0,1
310000000.0,2,투자 단계 비공개,100000000.0,1,1,12,IT,1,0,1,0,210000000.0,1
5748000000.0,1,투자 단계 비공개,500000000.0,1,0,19,IT,1,1,1,1,5248000000.0,1
850000000.0,0,투자 단계 비공개,580000000.0,0,0,23,None IT,0,1,1,1,270000000.0,1
728000000.0,17,Seed,2396568300.8753204,0,0,49,IT,1,0,1,1,-1668568300.8753204,3
3900000000.0,1,Series B,2500000000.0,0,0,1,IT,1,0,1,0,1400000000.0,5
100000000.0,1,Seed,100000000.0,0,0,1,None IT,0,1,1,1,0.0,3
200000000.0,0,Seed,100000000.0,0,0,11,None IT,0,0,1,1,100000000.0,3
230000000.0,4,Seed,100000000.0,1,1,18,IT,1,1,1,1,130000000.0,3
1000000000.0,0,투자 단계 비공개,1000000000.0,0,1,1,IT,1,0,1,0,0.0,1
196000000.0,1,투자 단계 비공개,100000000.0,0,0,4,None IT,0,1,1,1,96000000.0,1
500000000.0,20,투자 단계 비공개,300000000.0,1,1,38,IT,1,1,1,1,200000000.0,1
1500000000.0,0,Seed,1500000000.0,0,0,1,IT,1,1,1,1,0.0,3
820000000.0,1,Angel,500000000.0,0,0,22,IT,1,0,1,0,320000000.0,2
1110000000.0,3,투자 단계 비공개,250000000.0,0,0,19,IT,1,1,1,1,860000000.0,1
620000000.0,1,투자 단계 비공개,80000000.0,0,0,15,None IT,0,1,1,1,540000000.0,1
127000000.0,0,투자 단계 비공개,127000000.0,0,0,1,None IT,0,0,0,0,0.0,1
5930000000.0,3,투자 단계 비공개,300000000.0,1,1,1,IT,1,0,1,0,5630000000.0,1
3940000000.0,11,Angel,120000000.0,1,1,10,None IT,0,0,1,1,3820000000.0,2
70000000.0,2,투자 단계 비공개,70000000.0,1,1,19,IT,1,0,1,1,0.0,1
500000000.0,1,투자 단계 비공개,500000000.0,0,0,20,IT,1,0,1,0,0.0,1
176631000.0,3,Series A,100000000.0,0,0,8,IT,1,1,1,1,76631000.0,4
100000000.0,2,Seed,100000000.0,0,1,11,IT,1,1,0,1,0.0,3
1316200000.0,0,Angel,930000000.0,0,0,1,None IT,0,0,1,1,386200000.0,2
376176450.0,0,Angel,376176450.0,0,0,1,IT,1,0,1,1,0.0,2
6000000000.0,1,투자 단계 비공개,6000000000.0,0,0,1,IT,1,0,1,0,0.0,1
427000000.0,1,Seed,327000000.0,0,0,4,IT,1,1,1,1,100000000.0,3
1300000000.0,8,투자 단계 비공개,2396568300.8753204,0,0,25,IT,1,0,1,0,-1096568300.8753204,1
100000000.0,0,Seed,100000000.0,0,0,14,IT,1,1,1,1,0.0,3
1000000000.0,0,투자 단계 비공개,1000000000.0,1,0,1,IT,1,0,1,0,0.0,1
780000000.0,1,투자 단계 비공개,500000000.0,0,0,19,IT,1,1,1,1,280000000.0,1
6500000000.0,1,Seed,500000000.0,1,1,1,IT,1,0,1,1,6000000000.0,3
250000000.0,4,Seed,250000000.0,0,0,32,IT,1,1,0,1,0.0,3
96499998.0,0,투자 단계 비공개,2396568300.8753204,1,1,12,IT,1,0,1,0,-2300068302.8753204,1
4000000000.0,1,Series A,4000000000.0,0,0,24,IT,1,1,1,1,0.0,4
144716730.0,1,Seed,100051800.0,0,0,27,IT,1,1,1,1,44664930.0,3
5000000000.0,4,투자 단계 비공개,3000000000.0,0,0,25,IT,1,0,1,0,2000000000.0,1
1040000000.0,0,투자 단계 비공개,20000000.0,1,1,22,IT,1,0,1,1,1020000000.0,1
12450000000.0,4,Seed,150000000.0,0,0,1,IT,1,0,1,1,12300000000.0,3
3300000000.0,7,Series A,3000000000.0,0,0,32,IT,1,1,1,1,300000000.0,4
290000000.0,7,Seed,130000000.0,0,0,27,IT,1,1,1,1,160000000.0,3
3000000000.0,10,투자 단계 비공개,3000000000.0,1,1,1,IT,1,0,1,0,0.0,1
100000000.0,15,Seed,100000000.0,0,0,15,IT,1,1,0,1,0.0,3
150000000.0,1,투자 단계 비공개,150000000.0,0,0,1,None IT,0,0,0,0,0.0,1
18000000000.0,1,투자 단계 비공개,18000000000.0,0,0,1,None IT,0,1,1,1,0.0,1
55000000.0,2,투자 단계 비공개,55000000.0,0,1,1,None IT,0,0,1,0,0.0,1
18500000000.0,201,Series B,13500000000.0,1,1,26,IT,1,0,1,1,5000000000.0,5
800000000.0,0,투자 단계 비공개,800000000.0,1,1,20,IT,1,0,1,0,0.0,1
3000000000.0,0,Seed,3000000000.0,1,0,5,None IT,0,1,1,1,0.0,3
5400000000.0,0,투자 단계 비공개,4200000000.0,0,0,1,None IT,0,0,1,0,1200000000.0,1
2000000000.0,13,Series A,2000000000.0,0,0,1,IT,1,0,1,1,0.0,4
60000000.0,0,Angel,60000000.0,1,1,1,IT,1,0,1,0,0.0,2
2300000000.0,1,Angel,200000000.0,0,0,5,IT,1,0,1,1,2100000000.0,2
500000000.0,6,투자 단계 비공개,500000000.0,0,0,1,IT,1,0,1,0,0.0,1
500000000.0,1,투자 단계 비공개,500000000.0,0,0,31,IT,1,0,1,1,0.0,1
300000000.0,0,투자 단계 비공개,300000000.0,1,1,1,IT,1,0,1,0,0.0,1
100000000.0,0,투자 단계 비공개,100000000.0,0,0,1,None IT,0,0,0,0,0.0,1
7500000000.0,8,Series B,3000000000.0,1,1,6,IT,1,0,1,1,4500000000.0,5
380000000.0,0,투자 단계 비공개,2396568300.8753204,1,1,1,IT,1,0,1,1,-2016568300.8753204,1
6700000000.0,1,투자 단계 비공개,2396568300.8753204,1,1,23,IT,1,0,1,0,4303431699.12468,1
2100000000.0,8,Series A,500000000.0,0,0,4,IT,1,0,1,1,1600000000.0,4
1500000000.0,5,Seed,1500000000.0,1,1,1,IT,1,0,1,0,0.0,3
1200000000.0,9,투자 단계 비공개,2396568300.8753204,1,1,13,IT,1,0,1,1,-1196568300.8753204,1
3000000000.0,0,투자 단계 비공개,1000000000.0,1,1,14,IT,1,0,1,1,2000000000.0,1
2000000000.0,35,투자 단계 비공개,2396568300.8753204,1,1,33,IT,1,0,1,0,-396568300.87532043,1
7694900000.0,4,투자 단계 비공개,200000000.0,0,0,11,IT,1,0,1,1,7494900000.0,1
4500000000.0,0,Series A,4500000000.0,0,0,1,IT,1,0,1,1,0.0,4
6100000000.0,10,Seed,1100000000.0,0,0,23,IT,1,0,1,0,5000000000.0,3
1000000000.0,4,투자 단계 비공개,1000000000.0,0,0,19,IT,1,0,1,0,0.0,1
700000000.0,0,투자 단계 비공개,350000000.0,0,0,1,IT,1,0,1,0,350000000.0,1
146000000.0,0,Seed,46000000.0,0,0,18,None IT,0,0,1,0,100000000.0,3
1700000000.0,4,Series A,2396568300.8753204,0,0,18,None IT,0,0,0,1,-696568300.8753204,4
11850000000.0,1,Series B,7550000000.0,0,0,1,IT,1,0,1,1,4300000000.0,5
4380000000.0,6,Seed,2396568300.8753204,0,0,17,IT,1,0,1,0,1983431699.1246796,3
120000000.0,0,Seed,120000000.0,0,0,1,IT,1,0,1,0,0.0,3
298500000000.0,29,투자 단계 비공개,2396568300.8753204,1,1,48,None IT,0,0,1,1,296103431699.1247,1
2508800.0,6,해당없음,512000.0,0,0,1,IT,1,0,1,1,1996800.0,1
5000000000.0,3,Series A,3000000000.0,0,0,19,IT,1,0,1,1,2000000000.0,4
19460000000.0,10,Series B,5000000000.0,1,1,6,IT,1,0,1,1,14460000000.0,5
650000000.0,0,투자 단계 비공개,650000000.0,0,0,1,IT,1,0,1,0,0.0,1
1500000000.0,0,Series A,1000000000.0,0,0,1,IT,1,0,1,1,500000000.0,4
50000000.0,1,Seed,50000000.0,0,0,1,None IT,0,0,1,1,0.0,3
1600000000.0,1,해당없음,1000000000.0,0,0,10,IT,1,0,1,0,600000000.0,1
1300000000.0,2,투자 단계 비공개,2396568300.8753204,1,1,20,IT,1,0,1,0,-1096568300.8753204,1
1300000000.0,1,Series A,500000000.0,0,0,1,None IT,0,0,1,0,800000000.0,4
40000000.0,5,투자 단계 비공개,40000000.0,0,0,1,None IT,0,1,1,1,0.0,1
100000000.0,4,Angel,100000000.0,0,1,3,IT,1,1,1,1,0.0,2
140000000.0,2,투자 단계 비공개,100000000.0,0,1,19,IT,1,0,1,0,40000000.0,1
422000000.0,3,해당없음,30000000.0,0,1,29,IT,1,1,1,1,392000000.0,1
500000000.0,6,Seed,2396568300.8753204,0,0,14,None IT,0,1,1,1,-1896568300.8753204,3
200000000.0,1,투자 단계 비공개,200000000.0,1,1,1,IT,1,0,1,0,0.0,1
590000000.0,23,해당없음,100000000.0,0,0,33,IT,1,0,1,0,490000000.0,1
100000000.0,1,투자 단계 비공개,2396568300.8753204,0,0,18,IT,1,0,1,1,-2296568300.8753204,1
2300000000.0,9,Angel,2396568300.8753204,0,0,1,IT,1,0,1,1,-96568300.87532043,2
2000000000.0,0,투자 단계 비공개,2000000000.0,0,0,1,IT,1,0,1,0,0.0,1
50000000.0,1,투자 단계 비공개,50000000.0,0,0,1,IT,1,0,1,0,0.0,1
2000000000.0,1,Series A,2000000000.0,1,1,14,IT,1,0,1,0,0.0,4
300000000.0,0,투자 단계 비공개,300000000.0,0,1,1,IT,1,0,1,0,0.0,1
1200000000.0,3,투자 단계 비공개,1200000000.0,0,0,15,IT,1,1,1,1,0.0,1
