누적투자유치금액,기업추천수,투자금액,앱스토어 등록,구글플레이 등록,기술스택_개수,IT기업 여부,2017년 이후 설립 여부,수도권 여부,투자성공여부,누적투자유치금액_투자금액_차이,투자단계명_숫자
20000000.0,0,20000000.0,0,1,1,1,0,1,0,0.0,1
50280000000.0,71,12500000000.0,1,1,94,1,0,1,1,37780000000.0,5
200000000.0,0,2396568300.8753204,0,0,22,1,0,1,1,-2196568300.8753204,1
230000000.0,1,230000000.0,0,0,1,0,1,1,1,0.0,2
1200000000.0,2,1200000000.0,0,0,2,1,0,1,1,0.0,4
1000000000.0,2,1000000000.0,0,1,1,1,0,1,0,0.0,1
60000000.0,1,60000000.0,0,0,1,1,1,1,0,0.0,1
7500000000.0,11,2396568300.8753204,1,1,7,0,1,1,1,5103431699.12468,1
1000000000.0,6,2396568300.8753204,0,0,11,1,1,1,1,-1396568300.8753204,1
2325000000.0,28,2000000000.0,0,0,32,1,1,1,1,325000000.0,4
6600000000.0,0,3100000000.0,0,0,1,1,0,0,0,3500000000.0,1
20000000.0,0,20000000.0,0,0,1,0,0,1,0,0.0,1
5000000000.0,36,5000000000.0,0,0,20,1,0,1,1,0.0,4
83850000000.0,22,62400000000.0,0,0,68,1,0,1,1,21450000000.0,5
5000000000.0,0,5000000000.0,0,0,36,1,0,1,0,0.0,1
500000000.0,31,500000000.0,0,0,19,1,1,1,1,0.0,1
96000000.0,0,96000000.0,0,1,9,1,1,0,1,0.0,1
5000000000.0,1,5000000000.0,0,0,13,1,1,1,1,0.0,3
3750000000.0,7,300000000.0,0,1,23,1,0,1,1,3450000000.0,4
200000000.0,4,200000000.0,0,0,3,0,1,1,1,0.0,1
10000000.0,0,10000000.0,0,0,1,0,0,1,0,0.0,1
6500000000.0,37,200000000.0,1,1,22,1,0,1,0,6300000000.0,1
8000000000.0,5,8000000000.0,0,0,1,0,0,1,0,0.0,1
10300000000.0,5,9000000000.0,0,0,1,1,0,1,0,1300000000.0,1
9300000000.0,35,2000000000.0,1,1,48,1,0,1,0,7300000000.0,1
3000000000.0,12,3000000000.0,1,1,33,1,0,1,1,0.0,4
3700000000.0,4,3000000000.0,1,1,18,1,0,1,1,700000000.0,1
120000000.0,0,2396568300.8753204,0,1,25,1,0,1,0,-2276568300.8753204,3
300000000.0,6,300000000.0,0,0,45,1,1,1,1,0.0,3
200000000.0,3,200000000.0,0,0,17,0,1,0,1,0.0,2
7500000000.0,11,2000000000.0,0,0,29,1,0,1,0,5500000000.0,1
8300000000.0,22,2396568300.8753204,1,1,55,1,0,1,0,5903431699.12468,2
7750000000.0,1,2000000000.0,0,0,1,1,0,1,0,5750000000.0,4
100000000.0,0,100000000.0,0,0,24,1,0,1,0,0.0,2
310000000.0,0,250000000.0,0,0,1,1,0,1,0,60000000.0,1
4800000000.0,1,2500000000.0,0,0,1,1,0,1,0,2300000000.0,1
1000000000.0,0,1000000000.0,0,0,26,1,1,1,1,0.0,3
1500000000.0,0,1500000000.0,1,1,19,1,1,1,1,0.0,1
76400000.0,0,50000000.0,0,0,1,1,0,1,0,26400000.0,1
24000000.0,0,24000000.0,0,0,1,1,0,1,0,0.0,1
10100000000.0,10,8000000000.0,0,0,2,1,0,1,1,2100000000.0,5
1100000000.0,1,800000000.0,0,0,9,0,1,1,1,300000000.0,2
150000000.0,2,100000000.0,0,0,11,1,1,1,1,50000000.0,3
3500000000.0,2,2500000000.0,0,0,22,1,1,1,1,1000000000.0,4
1700000000.0,10,1700000000.0,0,0,17,1,0,0,0,0.0,1
930000000.0,16,30000000.0,0,0,31,1,1,1,1,900000000.0,3
120000000.0,2,20000000.0,0,0,23,1,1,1,1,100000000.0,1
2250000000.0,4,500000000.0,0,1,31,0,1,1,1,1750000000.0,1
1300000000.0,0,1000000000.0,1,1,1,1,0,1,0,300000000.0,1
18000000000.0,0,4000000000.0,0,1,1,1,0,1,0,14000000000.0,4
1799989774.0,0,300000000.0,0,0,18,0,0,0,1,1499989774.0,4
250000000.0,29,2396568300.8753204,0,0,16,1,0,1,1,-2146568300.8753204,2
10000000000.0,43,10000000000.0,1,1,35,1,0,1,1,0.0,4
1100000000.0,0,500000000.0,0,0,11,1,1,1,1,600000000.0,3
4550000000.0,0,2000000000.0,0,0,1,1,0,1,0,2550000000.0,1
150000000.0,0,30000000.0,0,0,1,1,0,1,0,120000000.0,1
2000000000.0,1,2000000000.0,1,0,13,1,0,1,0,0.0,1
2500000000.0,12,500000000.0,1,1,1,0,1,1,1,2000000000.0,1
1300000000.0,0,500000000.0,1,1,1,1,0,1,0,800000000.0,4
92713900000.0,136,70113900000.0,0,0,34,1,0,1,1,22600000000.0,1
300000000.0,6,300000000.0,0,0,17,1,1,1,1,0.0,1
42000000.0,6,30000000.0,0,0,1,0,0,1,0,12000000.0,3
1200000000.0,2,2396568300.8753204,0,0,10,1,0,1,0,-1196568300.8753204,1
650000000.0,10,650000000.0,1,1,12,1,1,0,1,0.0,1
100000000.0,7,100000000.0,1,1,12,0,1,1,1,0.0,3
950000000.0,0,300000000.0,1,1,1,1,0,0,0,650000000.0,3
110000000.0,5,2396568300.8753204,1,1,24,1,0,1,1,-2286568300.8753204,3
8200000000.0,7,200000000.0,0,0,40,0,1,1,1,8000000000.0,3
9200000000.0,4,400000000.0,0,0,30,1,0,1,0,8800000000.0,2
50000000.0,0,50000000.0,0,0,1,0,0,1,0,0.0,1
195000000.0,5,35000000.0,0,0,1,0,1,1,1,160000000.0,2
200000000.0,1,200000000.0,0,0,15,0,1,1,1,0.0,1
56500000.0,0,31500000.0,0,1,18,1,0,1,0,25000000.0,3
11000004000.0,5,2000004000.0,0,0,25,1,1,1,1,9000000000.0,4
200000000.0,1,200000000.0,0,0,1,1,1,0,1,0.0,1
2500000000.0,1,2500000000.0,0,0,1,1,0,1,0,0.0,1
635000000.0,8,286000000.0,1,1,49,1,0,0,0,349000000.0,1
1000000000.0,2,1000000000.0,0,0,14,0,1,1,1,0.0,1
4000000000.0,3,4000000000.0,0,0,1,0,0,1,1,0.0,4
3600000000.0,1,3600000000.0,1,1,23,0,1,1,1,0.0,3
400000000.0,1,300000000.0,1,1,18,0,0,1,0,100000000.0,3
9000000000.0,1,9000000000.0,0,0,1,1,0,1,0,0.0,1
1500000000.0,0,1500000000.0,1,1,1,1,0,1,0,0.0,1
7000000000.0,0,2000000000.0,0,0,1,0,0,1,1,5000000000.0,1
2500000000.0,5,2500000000.0,0,0,32,1,0,1,1,0.0,1
5000000000.0,1,5000000000.0,1,1,1,1,0,1,0,0.0,1
2580000000.0,15,2400000000.0,0,0,16,1,1,1,1,180000000.0,3
100000000000.0,1,100000000000.0,0,0,3,1,0,1,0,0.0,1
100000000.0,0,100000000.0,0,1,15,1,0,1,0,0.0,1
6440000000.0,16,500000000.0,1,1,37,1,0,1,1,5940000000.0,1
220000000.0,1,100000000.0,0,1,24,1,0,1,1,120000000.0,1
1000000000.0,6,500000000.0,1,1,16,0,1,1,1,500000000.0,3
1100000000.0,0,500000000.0,1,1,1,1,0,1,0,600000000.0,2
2000000000.0,4,2000000000.0,0,0,19,1,0,1,1,0.0,1
1700000000.0,21,100000000.0,1,1,23,1,0,1,0,1600000000.0,1
5970000000.0,6,270000000.0,0,1,33,1,0,1,0,5700000000.0,3
4500000000.0,3,3600000000.0,0,0,31,1,0,1,1,900000000.0,3
200000000.0,3,200000000.0,0,0,14,0,1,1,1,0.0,3
500000000.0,0,500000000.0,0,0,1,1,0,1,0,0.0,1
330000000.0,0,300000000.0,0,0,1,1,0,1,0,30000000.0,1
702000000.0,19,20000000.0,0,0,16,1,1,1,1,682000000.0,1
27800000000.0,4,18500000000.0,1,1,28,1,1,1,1,9300000000.0,5
9000000000.0,1,9000000000.0,0,0,1,1,0,1,0,0.0,1
50000000.0,0,50000000.0,0,0,1,0,0,0,0,0.0,1
150000000.0,2,150000000.0,0,0,1,1,0,1,1,0.0,3
150000000.0,0,150000000.0,0,0,1,1,0,1,0,0.0,1
1000000000.0,0,1000000000.0,0,0,1,1,0,1,0,0.0,3
47500000.0,3,47500000.0,0,0,25,1,0,1,1,0.0,3
542000000.0,9,80000000.0,0,0,20,1,1,1,1,462000000.0,1
7000000000.0,14,6000000000.0,1,1,53,1,0,1,0,1000000000.0,1
1500000000.0,1,1500000000.0,0,0,1,1,0,1,0,0.0,1
20000000.0,1,20000000.0,0,0,4,0,1,1,1,0.0,1
5330000000.0,25,1000000000.0,1,1,34,1,0,1,0,4330000000.0,4
500000000.0,1,500000000.0,0,0,14,1,1,1,1,0.0,3
2250000000.0,5,100000000.0,0,0,1,0,1,0,1,2150000000.0,2
