제품일련번호,기업일련번호,제품국문명,제품영문명,한줄소개내용,제품상세설명,검색태그내용,홈페이지url,앱스토어url,구글플레이url
128308,158214,Zi성,ZiSeong,펀딩플랫폼 브랜드 아이덴티티 작업 진행,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/1,,,,
128309,158214,슈퍼게임즈,SuperGames,게이머 게임 매칭 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/2,,,,
128234,160540,홍영의대게백간장,,영덕 특산물 대게를 활용한 투명한 백간장,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/3,,,,
128262,161009,딥세일즈,DeepSales,신규 바이어 발굴 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/4,앱/웹서비스,,,
128292,156828,파이널매치,Final Match,인터넷 투자취업 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/5,,http://www.finalmatch.co.kr/,,
128431,161084,휩드 비건 팩클렌저,WHIPPED VEGAN PACK CLEANSER,50.3%가 천연팩으로 구성되어 팩+클렌징을 한 번에 해주는 약산성 비건 클렌저 (특허 2건),/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,http://www.whipped.co.kr,,
128393,161103,다회용기 대여,,일회용품이 발생하는 산업군에 다회용기를 대여하여 문제해결을 하는 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,일회용품||다회용기,http://trashbusters.kr,,
128259,160895,생분해 플라스틱,biodegradable plastic,분해되는 플라스틱으로 만든 제품 생산 제조,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/8,,,,
128256,160895,화장품,Cosmetics,도소매 및 OEM 자체 개발 제품 생산 판매,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
81355,80927,이상거래탐지솔루션,N-FDS,사용자의 이용패턴을 분석하여 이상거래 시 탐지해내는 솔루션,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/10,,http://www.nurier.co.kr,,
9144,14303,피규아 메시지,FiguAR Message,5G 비대면 메시지 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/11,,http://www.figuar.com,,
184,115,애드라떼,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/12,,http://adlatte.com/,https://itunes.apple.com/app/id442038728,https://play.google.com/store/apps/details?id=kr.co.appdisco.adlatte
128258,160895,원거리 제어 로봇,remote control robot,원거리 지상 로봇(서비스 로봇)은 ‘일자리와 생명’을 구할 수 있다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/13,,,,
128250,160895,업사이클링 기계 개발 생산,Development and production of upcycling machines,넘쳐나는 폐플라스틱을 신자원으로 활용하여 기계와 제품을 생산하며 판매한다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/14,기계개발||기계제조||메카트로닉스||업사이클링||플라스틱||재활용||환경/재활용||저탄소||신자원||신사업||그린뉴딜,,,
128260,160895,공유주방,shared kitchen,공유경제를 기반으로 창업자에게 다양한 방식의 경영 솔루션을 제공한다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/15,,,,
128255,160895,재활용 플라스틱 가구 생산,Recycled plastic furniture production,넘쳐나는 폐플라스틱을 신자원으로 활용하며 디자인적으로 완성도 높은 가구제품을 생산한다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/16,,,,
128257,160895,건강보조식품,health supplements,도소매 및 OEM 자체 개발 제품 생산 판매,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
127941,90232,슬릭부스트,,운동은 짧고 재미있게|| 슬릭부스트,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/18,스포츠,https://www.sleekboost.com/,https://sleekcorp.page.link/hSLQ,https://sleekcorp.page.link/hSLQ
128300,161057,리프레스,repress,코스닥을 넘어 코스피까지|| 종목 뉴스에 특화된 경제 미디어,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/19,,https://www.repress.co.kr,,
128303,161055,블락체인 기술,blockchain tech,블록체인 NFT 회사로 콘텐츠를 블락체인에 기제,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/20,블락체인,https://powerfan.io,,
127699,129395,스톡폴리오(클라우드) - 테스트 버전,StockFolio(Cloud),이미지/동영상만 모아보는 포토 클라우드,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/21,클라우드||드라이브||사진||이미지||이미지/영상AI||영상||포토클라우드,https://cloud.stockfolio.ai,,
128196,160956,원픽마켓,1pickmarket,가치 소비의 기준|| 원픽마켓,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/22,,https://www.1pickmarket.com/,,
127724,95373,오름차트,,클라우드 서비스 기반으로 시간과 장소에 구애없이 언제 어디서든 효율적인 병원업무를 지원하는 의원급 EMR(Electric Medical Record)입니다.,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/23,,https://www.ormchart.com/,,
127937,90232,슬릭마켓,,Eat Good|| Feel Better,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/24,스포츠||쇼핑몰,https://sleekmarket.com/,,
127806,114061,별별선생,starteacher,대한민국 No.1 강사 리뷰 플랫폼,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/25,플랫폼,https://www.starteacher.co.kr/,,
128015,160846,교육서비스 기획/구축,,비대면 원격수업 대비한 LMS|| 스마트러닝 시스템 구축,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/26,,,,
128014,160846,검색/추천엔진 개발 및 관리,,콘텐츠 서비스|| 네비게이션 등에 활용되는 검색엔진 개발 관리,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/27,,,,
126601,157526,라커룸,,,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,,,,
128059,160521,휘슬,whistle,프로 스포츠 선수의 레슨과 피드백을 간편하게,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/29,,,,
128055,160884,페포,PEVO,토탈 반려동물 헬스케어 서비스,/hadoop/tstream/csv_data/RK/csv_tb_rk_srvc_prduc_m_data.csv_lob/prduc_dtl_dscrt/FACT_NULL,#IoT||#헬스케어||반려동물/금융/유통/용품||#반려동물||#강아지,https://pevo.care/,,https://play.google.com/store/apps/details?id=com.ddcares.pevo&hl=ko&gl=US
