투자일련번호,기업일련번호,투자일자,투자단계명,투자금액,기업가치금액,투자유치비고,보도자료발행사명,보도자료제목,보도자료url,투자기관번호
9671,160766,20210901,Angel,100000000,,,,,,
9670,154119,20211122,투자 단계 비공개,,,,인더스트리뉴스,아이온커뮤니케이션즈|| 위드싸인 본부 분사 ‘이폼웍스’ 설립… 카카오에서 투자 유치                                                                                                                                                                                                                                                               ,http://www.industrynews.co.kr/news/articleView.html?idxno=44491,114448||33862
9672,152207,20211027,Seed,,,,,,,
9673,152207,20211018,Seed,,,,,,,
9674,110561,20210801,Seed,,,,,,,
9661,100736,20200415,투자 단계 비공개,,,,,,,
9659,157057,20211125,투자 단계 비공개,80000000,,최우수상 (교육부장관상),,,,160591
9657,142566,20211114,투자 단계 비공개,,,,,,,152410
9651,141448,20200901,해당없음,,,예비창업패키지 비대면 분야 선정 및 최우수졸업,,,,33197
9652,141448,20210601,해당없음,,,비대면 스타트업 육성사업 선정,,,,33197||23462
9644,159230,20211126,Seed,,,,,,,7749
9669,1722,20211127,투자 단계 비공개,,,,,,,79773
9650,150181,20211108,Seed,,,,,,,7772
9654,160481,20210813,투자 단계 비공개,,,,벤처스퀘어,https://www.venturesquare.net/839898                                                                                                                                                                                                                                                                        ,https://www.venturesquare.net/839898,7696||7858||119915
9653,160481,20210401,Seed,,,,한국경제,소셜 증권 스타트업 타인에이아이|| 끌림벤처스로부터 투자 유치                                                                                                                                                                                                                                                                           ,https://www.hankyung.com/economy/article/202105107091a,119915
9633,151420,20210520,투자 단계 비공개,,,,,,,
9631,102621,20210201,투자 단계 비공개,,,,,,,7700
9634,152336,20200918,투자 단계 비공개,,,,,,,8460
9629,102621,20190201,투자 단계 비공개,,,,,,,1210||86290||7729
9630,102621,20190802,투자 단계 비공개,,,,,,,18269||160302
9665,2641,20211118,Seed,,,,,,,
9632,122488,20210510,투자 단계 비공개,,,,,,,
9635,108314,20210923,Angel,,,,,,,
9668,35005,20180118,해당없음,,,,,,,34881
9663,143823,20210304,Seed,431000000,,,서울경제,유튜브 PPL 직거래마켓 오픈피피엘|| 프리 시리즈A 투자유치 완료                                                                                                                                                                                                                                                                        ,https://www.sedaily.com/NewsVIew/22JQ9TTEC9,
9667,101402,20200901,투자 단계 비공개,,,,IT 조선,카카오벤처스|| 중고 명품 온라인 커머스 ‘엑스클로젯’에 투자                                                                                                                                                                                                                                                                           ,http://it.chosun.com/site/data/html_dir/2020/09/01/2020090102824.html,1233||3422||7772||7749
9683,143554,20211112,투자 단계 비공개,,,,,,https://www.nextunicorn.kr/newsroom/52078da5e0811839,7732
9676,89365,20210930,투자 단계 비공개,,,,,,,18959
